isco08_3d,alpha,beta,zeta,gamma,n_isco08_4d,n_matched_4d,match_quality,soc_vintage
441,0.201675971494026,0.425383557151618,0.609873706948544,0.649091142809211,7,7,full,SOC-2018 bridged to SOC-2010
511,0.150060824967946,0.253308192495499,0.403369017463445,0.356555560023052,3,3,full,SOC-2018 bridged to SOC-2010
512,0.0779185520361991,0.161221719457014,0.239140271493213,0.244524886877828,1,1,full,SOC-2018 bridged to SOC-2010
513,0.1,0.156785714285714,0.256785714285714,0.213571428571429,2,2,full,SOC-2018 bridged to SOC-2010
514,0.0720653758579455,0.154203697115765,0.22626907297371,0.236342018373584,2,2,full,SOC-2018 bridged to SOC-2010
515,0.0384615384615385,0.153079710144928,0.191541248606466,0.267697881828317,3,3,full,SOC-2018 bridged to SOC-2010
516,0.14550728339428,0.265280151994548,0.410787435388829,0.385053020594816,6,6,full,SOC-2018 bridged to SOC-2010
521,0.375,0.401785714285714,0.776785714285714,0.428571428571429,2,2,full,SOC-2018 bridged to SOC-2010
522,0.195178510000491,0.38891192441889,0.584090434419382,0.582645338837289,3,3,full,SOC-2018 bridged to SOC-2010
523,0.0862068965517242,0.322413793103448,0.408620689655172,0.558620689655172,1,1,full,SOC-2018 bridged to SOC-2010
524,0.249839982312787,0.399811761719856,0.613937458318357,0.549783541126926,7,7,full,SOC-2018 bridged to SOC-2010
531,0.195285674078244,0.302407003471245,0.497692677549489,0.409528332864246,2,2,full,SOC-2018 bridged to SOC-2010
532,0.0641029481447943,0.148992825827486,0.21309577397228,0.233882703510177,3,3,full,SOC-2018 bridged to SOC-2010
541,0.146625694986644,0.273136157983056,0.4197618529697,0.399646620979468,5,5,full,SOC-2018 bridged to SOC-2010
611,0.00595238095238095,0.0818910256410256,0.0878434065934066,0.15782967032967,4,4,full,SOC-2018 bridged to SOC-2010
612,0.0208333333333333,0.116666666666667,0.1375,0.2125,4,4,full,SOC-2018 bridged to SOC-2010
613,0.0138888888888889,0.0777777777777778,0.0916666666666667,0.141666666666667,1,1,full,SOC-2018 bridged to SOC-2010
621,0.0210526315789474,0.102456782983099,0.123509414562046,0.18386093438725,1,1,full,SOC-2018 bridged to SOC-2010
622,0.00520833333333333,0.0916666666666667,0.096875,0.178125,4,4,full,SOC-2018 bridged to SOC-2010
631,0,0.0666666666666667,0.0666666666666667,0.133333333333333,1,1,full,SOC-2018 bridged to SOC-2010
632,0,0.0681818181818182,0.0681818181818182,0.136363636363636,1,1,full,SOC-2018 bridged to SOC-2010
633,0,0.0674242424242424,0.0674242424242424,0.134848484848485,1,1,full,SOC-2018 bridged to SOC-2010
634,0,0.0166666666666667,0.0166666666666667,0.0333333333333333,1,1,full,SOC-2018 bridged to SOC-2010
711,0.043128078817734,0.110181816905955,0.153309895723689,0.177235554994176,6,6,full,SOC-2018 bridged to SOC-2010
712,0.019798828622358,0.0550581968412851,0.0748570254636431,0.0903175650602121,7,7,full,SOC-2018 bridged to SOC-2010
713,0,0.0149122807017544,0.0149122807017544,0.0298245614035088,3,2,partial,SOC-2018 bridged to SOC-2010
721,0,0.0373931973407236,0.0373931973407236,0.0747863946814472,5,5,full,SOC-2018 bridged to SOC-2010
722,0.00656114718614719,0.074102016385515,0.0806631635716622,0.141642885584883,4,4,full,SOC-2018 bridged to SOC-2010
723,0.0552854246740341,0.134030145466583,0.189315570140617,0.212774866259131,4,4,full,SOC-2018 bridged to SOC-2010
